N,Treatment_,Diversity,Treatment,Treatment_1_,biocontr,Host_diversity,Pot,Plant,Plant_N,Aphid_Number,Aphid_Number_ln,Plant_weight,Aphid_load_ln,Aphid_load,Aphid_load_1,Aphid,Garlic,Predator,Garlic_weight,Garlic_weight_ln
138,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,31,rye,138,20,2.995732274,0.042,6.165817934,476.1904762,476.19,1,0,1,0,0
139,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,32,barley,139,3,1.098612289,0.022,4.915325115,136.3636364,136.36,1,0,1,0,0
140,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,32,wheat,140,11,2.397895273,0.032,5.839914649,343.75,343.75,1,0,1,0,0
141,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,32,rye,141,19,2.944438979,0.041,6.138622191,463.4146341,463.41,1,0,1,0,0
142,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,33,barley,142,11,2.397895273,0.035,5.75030249,314.2857143,314.29,1,0,1,0,0
143,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,33,wheat,143,21,3.044522438,0.045,6.145615227,466.6666667,466.67,1,0,1,0,0
144,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,33,rye,144,4,1.386294361,0.024,5.11599581,166.6666667,166.67,1,0,1,0,0
145,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,34,barley,145,34,3.526360525,0.063,6.290981077,539.6825397,539.68,1,0,1,0,0
146,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,34,wheat,146,21,3.044522438,0.041,6.23870565,512.195122,512.20,1,0,1,0,0
147,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,34,rye,147,15,2.708050201,0.037,6.004887567,405.4054054,405.41,1,0,1,0,0
148,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,35,barley,148,25,3.218875825,0.047,6.276483502,531.9148936,531.91,1,0,1,0,0
149,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,35,wheat,149,21,3.044522438,0.049,6.060457419,428.5714286,428.57,1,0,1,0,0
150,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,35,rye,150,4,1.386294361,0.027,4.998212774,148.1481481,148.15,1,0,1,0,0
151,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,36,barley,151,7,1.945910149,0.034,5.327304903,205.8823529,205.88,1,1,1,0.312,-1.164752091
152,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,36,wheat,152,4,1.386294361,0.032,4.828313737,125,125.00,1,1,1,0.312,-1.164752091
153,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,36,rye,153,9,2.197224577,0.034,5.578619332,264.7058824,264.71,1,1,1,0.312,-1.164752091
